Name_ID ,Name_OfficialCombined,Name_Official,,Name_FirstName,Name_ForwardName,Name_DateExpression,Name_BirthDateFilter,Name_DeathDateFilter,Name_Type,Name_KressInstitutionType,Name_InstitutionStatus,Name_Location,Name_LocationFilter,Name_InstitutionWeb,Name_Nationality ,Name_NationalityFilter,Name_ULANID,Name_ULANURI,Name_VIAFID,Name_VIAFURI,Name_LCCNID,Name_LCCNURI,Name_WikipediaURL,Name_TMSID,Name_InternalNote,Name_RelatedObjectID,Name_RelatedAcquisitionID,Name_RelatedDocumentID,Name_RelatedObjectID (previous attribution),,,
NAM0039,Anonymous Artist,Anonymous Artist,Anonymous Artist,,Anonymous Artist,,,,Artist,,,,,,,,,,,,,,,13,,,,,,,,
NAM0040,Anonymous Italian or French,Anonymous Italian or French,Anonymous Italian or French,,Anonymous Italian or French,,,,Artist,,,,,,,,,,,,,,,17493,,,,,3666,,,
NAM0041,Anonymous Netherlandish,Anonymous Netherlandish,Anonymous Netherlandish,,Anonymous Netherlandish,,,,Artist,,,,,,Netherlandish,Netherlandish,,,,,,,,8342,,,,,,,,
NAM0042,"Anselmi, Michelangelo, 1491/1492-1554/1556","Anselmi, Michelangelo",Anselmi,Michelangelo,Michelangelo Anselmi,1491/1492-1554/1556,1491,1556,Artist,,,,,,Parmese,Italian,500014404,http://vocab.getty.edu/page/ulan/500014404,72280819,http://viaf.org/viaf/72280819,nr93051312,http://id.loc.gov/authorities/names/nr93051312,https://en.wikipedia.org/wiki/Michelangelo_Anselmi,103,,,,,,,,
NAM0043,"Antico, c. 1460-1528",Antico,Antico,,Antico,c. 1460-1528,1455,1528,Artist,,,,,,Mantuan,Italian,500006970,http://vocab.getty.edu/page/ulan/500006970,23208624,http://viaf.org/viaf/23208624,nr98029675,http://id.loc.gov/authorities/names/nr98029675,https://en.wikipedia.org/wiki/Andrea_Antico,2004,,,,,,,,
NAM0044,"Antolinez y Sarabia, Francisco, 1644-1700","Antolinez y Sarabia, Francisco",Antolinez y Sarabia,Francisco,Francisco Antolinez y Sarabia,1644-1700,1644,1700,Artist,,,,,,Spanish,Spanish,500013316,http://vocab.getty.edu/page/ulan/500013316,28263041,http://viaf.org/viaf/28263041,,,https://en.wikipedia.org/wiki/Francisco_Antol%C3%ADnez,36849,,,,,,,,
NAM0045,"Antonello de Saliba, born c. 1466-1477, died c. 1535",Antonello de Saliba,Antonello de Saliba,,Antonello de Saliba,"born c. 1466-1477, died c. 1535",1461,1540,Artist,,,,,,Sicilian,Italian,500024094,http://vocab.getty.edu/page/ulan/500024094,95829846,http://viaf.org/viaf/95829846,,,https://en.wikipedia.org/wiki/Antonio_de_Saliba,12489,,,,,3462,,,
NAM0046,"Antonello della Moneta, active 1454-1484",Antonello della Moneta,Antonello della Moneta,,Antonello della Moneta,active 1454-1484,1429,1494,Artist,,,,,,Venetian,Italian,,,,,,,,2005,,,,,,,,
NAM0047,"Antoniazzo Romano, active c. 1461-1508/1509",Antoniazzo Romano,Antoniazzo Romano,,Antoniazzo Romano,active c. 1461-1508/1509,1441,1510,Artist,,,,,,Umbrian-Roman,Italian,500031194,http://vocab.getty.edu/page/ulan/500031194,88923896,http://viaf.org/viaf/88923896,n85305010,http://id.loc.gov/authorities/names/n85305010,https://en.wikipedia.org/wiki/Antoniazzo_Romano,12926,,,,,2539,,,
NAM0048,"Abondio, Antonio, 1538-1591","Abondio, Antonio",Abondio,Antonio,Antonio Abondio,1538-1591,1538,1591,Artist,,,,,,Italian,Italian,500103318,http://vocab.getty.edu/page/ulan/500103318,45362592,http://viaf.org/viaf/45362592,no98115283,http://id.loc.gov/authorities/names/no98115283,https://en.wikipedia.org/wiki/Antonio_Abondio,2006,,,,,,,,
NAM0049,"Antonio da Brescia, Fra, active c. 1485-1515","Antonio da Brescia, Fra",Antonio da Brescia,Fra,Fra Antonio da Brescia,active c. 1485-1515,1460,1525,Artist,,,,,,Venetian,Italian,,,,,,,,2041,,,,,,,,
NAM0050,"Antonio da Viterbo, c. 1450-c. 1516",Antonio da Viterbo,Antonio da Viterbo,,Antonio da Viterbo,c. 1450-c. 1516,1445,1521,Artist,,,,,,Umbrian,Italian,500029609,http://vocab.getty.edu/page/ulan/500029609,95864326,http://viaf.org/viaf/95864326,,,https://en.wikipedia.org/wiki/Antonio_del_Massaro,12930,,,,,,,,
NAM0051,Antwerp 16th Century,Antwerp 16th Century,Antwerp 16th Century,,Antwerp 16th Century,,1500,1599,Artist,,,,,,Netherlandish,Netherlandish,,,,,,,,8347,,,,,,,,
NAM0053,Aram Gallery,,Aram Gallery,,,,,,Seller,,,"New York, New York",New York,,,,,,130067247,http://viaf.org/viaf/130067247,no2010099101,http://id.loc.gov/authorities/names/no2010099101,,9490,,,ACQ209;ACQ210,,,,,
NAM0054,"Arizona State University Art Museum, Tempe, Arizona",Arizona State University Art Museum,Arizona State University Art Museum,,,,,,Institution,Kress Study Collection,Current Owner,"Tempe, Arizona",Arizona,http://asuartmuseum.asu.edu,,,,,131798747,http://viaf.org/viaf/131798747,nr94015839,http://id.loc.gov/authorities/names/nr94015839,https://en.wikipedia.org/wiki/Arizona_State_University_Art_Museum,18925,,,,,,,,
NAM0055,"Arkansas Art Center, Little Rock, Arkansas",Arkansas Art Center,Arkansas Art Center,,,,,,Institution,Kress Gift Location,Current Owner,"Little Rock, Arkansas",Arkansas,http://www.arkarts.com/,,,,,149456779,http://viaf.org/viaf/149456779,n50002164,http://id.loc.gov/authorities/names/n50002164,https://en.wikipedia.org/wiki/Arkansas_Arts_Center,12234,,,,,,,,
NAM0056,"Arnaud, Edouard",,"Arnaud, Edouard",,,,,,Seller,,,"New York, New York",New York,,,,,,,,,,,36094,,,ACQ214,,,,,
NAM0057,Ars Antiqua Inc. ,,Ars Antiqua Inc. ,,,,,,Seller,,,"New York, New York",New York,,,,,,,,,,,35630,,,ACQ212;ACQ262,,,,,
NAM0058,"Aspertini, Amico, 1474/1475-1552","Aspertini, Amico",Aspertini,Amico,Amico Aspertini,1474/1475-1552,1474,1552,Artist,,,,,,Ferrarese-Bolognese,Italian,500022951,http://vocab.getty.edu/page/ulan/500022951,61817755,http://viaf.org/viaf/61817755,n87912239,http://id.loc.gov/authorities/names/n87912239,https://en.wikipedia.org/wiki/Amico_Aspertini,121,,,,,,,,
NAM0059,"Aspetti, Tiziano, 1557/1559-1606","Aspetti, Tiziano",Aspetti,Tiziano,Tiziano Aspetti,1557/1559-1606,1557,1606,Artist,,,,,,Italian,Italian,500030358,http://vocab.getty.edu/page/ulan/500030358,305410966,http://viaf.org/viaf/305410966,nr98028665,http://id.loc.gov/authorities/names/nr98028665,,5543,,,,,,,,
